META,inlet_choked,yes
DATA,ts_ms,diaphragm_pct,piston_pct,mpx_pressure_hPa,bmp_temp_C,bmp_pressure_hPa
DATA,1123,0,0,1444.99, 24.63,1793.31
DATA,2016,0,0,1358.10, 24.75,1793.65
DATA,3015,0,0,1330.94, 24.73,1793.60
DATA,4016,0,0,1303.79, 24.74,1793.63
DATA,5015,0,100,1444.99, 24.60,1603.88
DATA,6016,0,100,1499.29, 24.45,1078.58
DATA,7015,0,100,1515.59, 24.44,925.45
DATA,8015,0,13,1428.70, 24.52,1213.95
DATA,9016,0,13,1314.65, 24.72,1691.02
DATA,10015,100,13,1216.90, 24.88,1794.02
DATA,11016,100,13,1184.32, 24.89,1794.05
DATA,12015,100,13,1168.02, 24.88,1794.00
DATA,13016,100,13,1151.73, 24.88,1794.01
DATA,14015,100,13,1119.15, 24.88,1794.01
DATA,15015,100,12,1097.43, 24.88,1794.02
DATA,16015,100,12,1075.70, 24.88,1794.02
DATA,17015,100,12,1053.98, 24.88,1794.02
DATA,18016,100,12,1037.69, 24.88,1794.01
DATA,19015,100,12,1021.40, 24.88,1794.02
DATA,20016,100,0,999.67, 24.87,1794.00
DATA,21015,100,0,983.38, 24.88,1794.00
DATA,22016,100,0,967.09, 24.87,1794.00
DATA,23015,100,0,950.80, 24.88,1794.01
DATA,24015,100,0,934.51, 24.87,1793.99
DATA,25016,100,0,923.65, 24.87,1794.00
DATA,26015,100,0,907.35, 24.87,1794.00
DATA,27016,100,0,885.63, 24.87,1794.00
DATA,28015,100,0, 71.03, 24.78,1310.45
DATA,29016,100,0, 16.73, 24.66,1051.17
DATA,30015,100,0, 27.59, 24.71,1064.51
