META,inlet_choked,no - checking at which minimum duty cycle the compressor can maintain adequate pressure
DATA,ts_ms,diaphragm_pct,piston_pct,mpx_pressure_hPa,bmp_temp_C,bmp_pressure_hPa
DATA,1123,0,0,-15.86, 25.93,1015.85
DATA,2016,0,0,-21.29, 25.92,1015.82
DATA,3015,0,0,-15.86, 25.92,1015.85
DATA,4016,0,0,-15.86, 25.92,1015.82
DATA,5015,0,0,-15.86, 25.92,1015.85
DATA,6016,0,0,-15.86, 25.92,1015.86
DATA,7015,0,0,-15.86, 25.92,1015.83
DATA,8015,0,0,-15.86, 25.92,1015.85
DATA,9016,0,0,-21.29, 25.92,1015.83
DATA,10015,0,100, -5.00, 25.92,1015.83
DATA,11016,0,100,103.62, 25.91,1015.84
DATA,12015,0,100,185.08, 25.91,1015.82
DATA,13016,0,100,206.80, 25.91,1015.83
DATA,14015,0,100,293.69, 25.91,1015.87
DATA,15015,0,100,369.72, 25.91,1015.84
DATA,16015,0,100,386.01, 25.91,1015.82
DATA,17015,0,100,467.47, 25.91,1015.84
DATA,18016,0,100,489.19, 25.91,1015.83
DATA,19015,0,100,559.79, 25.90,1015.86
DATA,20016,0,100,570.65, 25.90,1015.82
DATA,21015,0,100,624.96, 25.90,1015.85
DATA,22016,0,100,652.11, 25.90,1015.87
DATA,23015,0,100,706.42, 25.90,1015.83
DATA,24015,0,100,749.86, 25.90,1015.82
DATA,25016,0,100,771.59, 25.90,1015.85
DATA,26015,0,100,842.19, 25.90,1015.83
DATA,27016,0,100,847.62, 25.90,1015.82
DATA,28015,0,100,891.06, 25.90,1015.84
DATA,29016,0,100,929.08, 25.90,1015.82
DATA,30015,0,100,972.52, 25.90,1015.83
DATA,31015,0,100,1005.10, 25.90,1015.81
DATA,32015,0,100,1032.26, 25.89,1015.82
DATA,33015,0,100,1108.29, 25.89,1015.83
DATA,34016,0,100,1113.72, 25.89,1015.84
DATA,35015,0,100,1140.87, 25.89,1015.81
DATA,36016,0,100,1173.46, 25.89,1015.83
DATA,37015,0,100,1206.04, 25.89,1015.81
DATA,38016,0,100,1238.62, 25.89,1015.81
DATA,39015,0,100,1287.50, 25.89,1015.80
DATA,40015,0,100,1298.36, 25.89,1015.85
DATA,41016,0,100,1330.94, 25.89,1015.84
DATA,42015,0,100,1358.10, 25.89,1015.81
DATA,43016,0,100,1396.11, 25.89,1015.85
DATA,44015,0,100,1385.25, 25.89,1015.83
DATA,45016,0,100,1444.99, 25.89,1015.83
DATA,46015,0,100,1466.71, 25.89,1015.81
DATA,47015,0,100,1483.00, 25.89,1015.84
DATA,48015,0,100,1521.02, 25.89,1015.82
DATA,49015,0,100,1645.92, 25.89,1015.80
DATA,50016,0,100,1586.18, 25.88,1015.82
DATA,51015,0,100,1618.77, 25.89,1015.82
DATA,52016,0,100,1656.78, 25.88,1015.82
DATA,53015,0,100,1694.80, 25.88,1015.82
DATA,54016,0,100,1689.37, 25.89,1015.81
DATA,55015,0,100,1808.84, 25.88,1015.83
DATA,56015,0,100,1727.38, 25.88,1015.79
DATA,57016,0,100,1765.40, 25.88,1015.82
DATA,58015,0,100,1819.70, 25.89,1015.81
DATA,59016,0,100,1814.27, 25.88,1015.78
DATA,60015,0,100,1835.99, 25.88,1015.80
DATA,61016,0,100,1857.72, 25.88,1015.81
DATA,62015,0,100,1895.73, 25.88,1015.83
DATA,63015,0,100,1890.30, 25.88,1015.82
DATA,64015,0,100,1944.61, 25.88,1015.81
DATA,65015,0,100,1955.47, 25.88,1015.84
DATA,66016,0,100,1966.33, 25.88,1015.83
DATA,67015,0,100,1977.19, 25.88,1015.83
DATA,68016,0,75,2004.34, 25.88,1015.83
DATA,69015,0,75,2015.21, 25.88,1015.80
DATA,70016,0,75,1988.05, 25.88,1015.81
DATA,71015,0,75,2053.22, 25.88,1015.81
DATA,72015,0,75,2085.80, 25.87,1015.79
DATA,73016,0,75,2085.80, 25.88,1015.81
DATA,74015,0,50,2102.10, 25.87,1015.81
DATA,75016,0,50,2129.25, 25.88,1015.83
DATA,76015,0,50,2140.11, 25.88,1015.82
DATA,77016,0,50,2156.40, 25.88,1015.77
DATA,78015,0,50,2167.26, 25.88,1015.82
DATA,79015,0,50,2150.97, 25.87,1015.82
DATA,80015,0,50,2199.85, 25.87,1015.83
DATA,81015,0,40,2216.14, 25.87,1015.81
DATA,82016,0,40,2232.43, 25.87,1015.84
DATA,83015,0,40,2248.72, 25.87,1015.79
DATA,84016,0,40,2248.72, 25.87,1015.82
DATA,85015,0,40,2259.59, 25.87,1015.81
DATA,86016,0,40,2270.45, 25.87,1015.83
