META,inlet_choked,no
DATA,ts_ms,diaphragm_pct,piston_pct,mpx_pressure_hPa,bmp_temp_C,bmp_pressure_hPa
DATA,1123,0,0,-15.86, 24.69,1015.87
DATA,2016,0,0,-15.86, 24.69,1015.85
DATA,3015,0,0,-15.86, 24.68,1015.84
DATA,4016,0,0,-21.29, 24.68,1015.85
DATA,5015,0,0,-15.86, 24.68,1015.83
DATA,6016,0,0,-21.29, 24.68,1015.85
DATA,7015,0,0,-15.86, 24.68,1015.84
DATA,8015,0,0,-15.86, 24.68,1015.86
DATA,9016,0,0,-15.86, 24.68,1015.86
DATA,10015,0,0,-15.86, 24.68,1015.86
DATA,11016,0,0,-15.86, 24.68,1015.87
DATA,12015,0,0,-15.86, 24.68,1015.83
DATA,13016,0,0,-15.86, 24.68,1015.85
DATA,14015,0,0,-15.86, 24.68,1015.88
DATA,15015,0,0,-15.86, 24.68,1015.86
DATA,16015,0,0,-21.29, 24.67,1015.86
DATA,17015,0,0,-15.86, 24.67,1015.88
DATA,18016,0,0,-15.86, 24.67,1015.85
DATA,19015,0,0,-15.86, 24.67,1015.86
DATA,20016,0,0,-15.86, 24.67,1015.85
DATA,21015,0,0,-15.86, 24.66,1015.84
DATA,22016,0,0,-15.86, 24.67,1015.87
DATA,23015,0,0,-15.86, 24.66,1015.87
DATA,24015,0,0,-21.29, 24.67,1015.86
DATA,25016,0,0,-15.86, 24.66,1015.88
DATA,26015,0,0,-15.86, 24.66,1015.86
DATA,27016,0,0,-15.86, 24.66,1015.88
DATA,28015,0,100,  5.87, 24.66,1015.84
DATA,29016,0,100, 87.32, 24.66,1015.84
DATA,30015,0,100,179.65, 24.66,1015.87
DATA,31015,0,100,244.81, 24.66,1015.84
DATA,32015,0,100,299.12, 24.66,1015.84
DATA,33015,0,100,386.01, 24.65,1015.83
DATA,34016,0,100,418.59, 24.65,1015.86
DATA,35015,0,100,500.05, 24.65,1015.84
DATA,36016,0,100,538.07, 24.65,1015.85
DATA,37015,0,100,597.81, 24.65,1015.84
DATA,38016,0,100,635.82, 24.65,1015.86
DATA,39015,0,100,673.84, 24.65,1015.85
DATA,40015,0,100,717.28, 24.65,1015.85
DATA,41016,0,100,766.16, 24.65,1015.84
DATA,42015,0,100,820.46, 24.65,1015.84
DATA,43016,0,100,853.05, 24.65,1015.85
DATA,44015,0,100,891.06, 24.64,1015.84
DATA,45016,0,100,939.94, 24.64,1015.84
DATA,46015,0,100,977.95, 24.64,1015.85
DATA,47015,0,100,1021.40, 24.64,1015.82
DATA,48015,0,100,1059.41, 24.64,1015.87
DATA,49015,0,100,1140.87, 24.64,1015.87
DATA,50016,0,100,1157.16, 24.64,1015.85
DATA,51015,0,100,1173.46, 24.64,1015.85
DATA,52016,0,100,1211.47, 24.63,1015.86
DATA,53015,0,100,1292.93, 24.63,1015.85
DATA,54016,0,100,1282.07, 24.63,1015.87
DATA,55015,0,100,1314.65, 24.63,1015.88
DATA,56015,0,100,1352.67, 24.63,1015.89
DATA,57016,0,100,1401.54, 24.63,1015.86
DATA,58015,0,100,1412.40, 24.63,1015.87
DATA,59016,0,100,1493.86, 24.62,1015.85
DATA,60015,0,100,1488.43, 24.62,1015.87
DATA,61016,0,100,1526.45, 24.62,1015.88
DATA,62015,0,100,1553.60, 24.62,1015.89
DATA,63015,0,100,1591.62, 24.62,1015.86
DATA,64015,0,100,1602.48, 24.61,1015.86
DATA,65015,0,100,1597.05, 24.62,1015.87
DATA,66016,0,100,1673.07, 24.61,1015.85
DATA,67015,0,100,1689.37, 24.62,1015.86
DATA,68016,0,100,1716.52, 24.62,1015.84
DATA,69015,0,100,1743.67, 24.62,1015.84
DATA,70016,0,100,1754.53, 24.61,1015.86
DATA,71015,0,100,1770.83, 24.61,1015.84
DATA,72015,0,100,1933.75, 24.61,1015.82
DATA,73016,0,100,1797.98, 24.61,1015.86
DATA,74015,0,100,1863.15, 24.61,1015.86
DATA,75016,0,100,1863.15, 24.61,1015.86
DATA,76015,0,100,1895.73, 24.61,1015.87
DATA,77016,0,100,1912.02, 24.61,1015.87
DATA,78015,0,100,1933.75, 24.61,1015.85
DATA,79015,0,100,1950.04, 24.60,1015.87
DATA,80015,0,100,1971.76, 24.60,1015.87
DATA,81015,0,100,1982.62, 24.59,1015.85
DATA,82016,0,100,2123.82, 24.60,1015.90
DATA,83015,0,100,2053.22, 24.60,1015.87
DATA,84016,0,100,2026.07, 24.60,1015.86
DATA,85015,0,100,2042.36, 24.59,1015.88
DATA,86016,0,100,2069.51, 24.59,1015.84
DATA,87015,0,100,2102.10, 24.59,1015.85
DATA,88015,0,100,2102.10, 24.59,1015.88
DATA,89016,0,100,2112.96, 24.59,1015.87
DATA,90015,0,100,2123.82, 24.59,1015.86
DATA,91016,0,100,2140.11, 24.59,1015.88
DATA,92015,0,100,2292.17, 24.59,1015.87
DATA,93016,0,100,2161.83, 24.59,1015.85
DATA,94015,0,100,2178.13, 24.59,1015.92
DATA,95015,0,100,2188.99, 24.58,1015.87
DATA,96015,0,100,2205.28, 24.58,1015.87
DATA,97015,0,100,2216.14, 24.58,1015.88
DATA,98016,0,100,2237.86, 24.58,1015.89
DATA,99015,0,100,2243.29, 24.58,1015.88
DATA,100016,0,100,2248.72, 24.58,1015.89
DATA,101015,0,100, 92.76, 24.58,1015.87
DATA,102016,0,100, 65.60, 24.58,1015.88
DATA,103015,0,100,190.51, 24.58,1015.88
DATA,104015,0,100,239.38, 24.58,1015.92
DATA,105016,0,100,342.57, 24.57,1015.90
DATA,106015,0,100,451.18, 24.57,1015.87
DATA,107016,0,100,494.62, 24.57,1015.87
DATA,108015,0,100,570.65, 24.57,1015.89
DATA,109016,0,100,630.39, 24.57,1015.89
DATA,110015,0,100,706.42, 24.57,1015.89
DATA,111015,0,100,820.46, 24.57,1015.92
DATA,112015,0,100,863.91, 24.57,1015.89
DATA,113015,0,100,912.78, 24.57,1015.87
DATA,114016,0,100,999.67, 24.57,1015.89
DATA,115015,0,100,1010.54, 24.56,1015.86
DATA,116016,0,100,1081.13, 24.56,1015.85
DATA,117015,0,100,1140.87, 24.56,1015.87
DATA,118016,0,100,1200.61, 24.56,1015.87
DATA,119015,0,0,1146.30, 24.56,1015.85
DATA,120015,0,0,1070.27, 24.55,1015.86
DATA,121016,0,0,994.24, 24.56,1015.84
DATA,122015,0,0,923.65, 24.55,1015.87
DATA,123016,0,0,853.05, 24.55,1015.87
DATA,124015,0,0,787.88, 24.55,1015.86
DATA,125016,0,0,717.28, 24.55,1015.83
DATA,126015,0,0,652.11, 24.55,1015.85
DATA,127015,0,0,581.51, 24.55,1015.86
DATA,128015,0,0,516.35, 24.54,1015.87
DATA,129015,0,0,451.18, 24.54,1015.86
DATA,130016,0,0,386.01, 24.54,1015.82
DATA,131015,0,0,315.41, 24.54,1015.87
DATA,132016,0,0,250.24, 24.54,1015.86
DATA,133015,0,0,185.08, 24.54,1015.86
DATA,134016,0,0,125.34, 24.54,1015.85
DATA,135015,0,0, 76.46, 24.54,1015.85
DATA,136015,0,0, 33.02, 24.54,1015.85
DATA,137016,0,0,  5.87, 24.53,1015.86
DATA,138015,0,0, -5.00, 24.53,1015.83
DATA,139016,0,0,-15.86, 24.53,1015.85
DATA,140015,0,0,-15.86, 24.53,1015.86
DATA,141016,0,0,-15.86, 24.53,1015.82
DATA,142015,0,0,-15.86, 24.53,1015.86
