META,inlet_choked,only_compressor_manual_outlet 
DATA,ts_ms,diaphragm_pct,piston_pct,mpx_pressure_hPa,bmp_temp_C,bmp_pressure_hPa,dht_temp_C,dht_humidity
DATA,1019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,2020,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,3019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,4020,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,5019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,6020,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,7019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,8019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,9020,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,10019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,11020,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,12019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,13020,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,14019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,15020,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,16019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,17019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,18020,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,19019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,20020,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,21019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,22020,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,23019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,24019,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,25020,0,0,-15.86,  0.00,  0.00,NaN,NaN
DATA,26019,0,100, 60.17,  0.00,  0.00,NaN,NaN
DATA,27020,0,100,348.00,  0.00,  0.00,NaN,NaN
DATA,28019,0,100,483.76,  0.00,  0.00,NaN,NaN
DATA,29020,0,100,614.10,  0.00,  0.00,NaN,NaN
DATA,30019,0,100,777.02,  0.00,  0.00,NaN,NaN
DATA,31020,0,100,836.75,  0.00,  0.00,NaN,NaN
DATA,32019,0,100,950.80,  0.00,  0.00,NaN,NaN
DATA,33019,0,100,1026.83,  0.00,  0.00,NaN,NaN
DATA,34020,0,100,1102.86,  0.00,  0.00,NaN,NaN
DATA,35019,0,100,1184.32,  0.00,  0.00,NaN,NaN
DATA,36020,0,100,1298.36,  0.00,  0.00,NaN,NaN
DATA,37019,0,100,1374.39,  0.00,  0.00,NaN,NaN
DATA,38020,0,100,1450.42,  0.00,  0.00,NaN,NaN
DATA,39019,0,100,1548.17,  0.00,  0.00,NaN,NaN
DATA,40019,0,100,1640.49,  0.00,  0.00,NaN,NaN
DATA,41020,0,100,1727.38,  0.00,  0.00,NaN,NaN
DATA,42019,0,100,1830.56,  0.00,  0.00,NaN,NaN
DATA,43020,0,100,1890.30,  0.00,  0.00,NaN,NaN
DATA,44019,0,100,2058.65,  0.00,  0.00,NaN,NaN
DATA,45020,0,100,2069.51,  0.00,  0.00,NaN,NaN
DATA,46019,0,100,2112.96,  0.00,  0.00,NaN,NaN
DATA,47020,0,100,2188.99,  0.00,  0.00,NaN,NaN
DATA,48019,0,100,2275.88,  0.00,  0.00,NaN,NaN
DATA,49019,0,100,2357.34,  0.00,  0.00,NaN,NaN
DATA,50020,0,100,2384.49,  0.00,  0.00,NaN,NaN
DATA,51019,0,100,2455.09,  0.00,  0.00,NaN,NaN
DATA,52020,0,100,2585.42,  0.00,  0.00,NaN,NaN
DATA,53019,0,100,2569.13,  0.00,  0.00,NaN,NaN
DATA,54020,0,100,2634.30,  0.00,  0.00,NaN,NaN
DATA,55019,0,100,2699.47,  0.00,  0.00,NaN,NaN
DATA,56019,0,100,2748.34,  0.00,  0.00,NaN,NaN
DATA,57020,0,100,2802.65,  0.00,  0.00,NaN,NaN
DATA,58019,0,100,2835.23,  0.00,  0.00,NaN,NaN
DATA,59020,0,100,2884.11,  0.00,  0.00,NaN,NaN
DATA,60019,0,100,2916.69,  0.00,  0.00,NaN,NaN
DATA,61020,0,100,2998.15,  0.00,  0.00,NaN,NaN
DATA,62019,0,100,2987.29,  0.00,  0.00,NaN,NaN
DATA,63020,0,100,3036.17,  0.00,  0.00,NaN,NaN
DATA,64019,0,100,3085.04,  0.00,  0.00,NaN,NaN
DATA,65019,0,100,3057.89,  0.00,  0.00,NaN,NaN
DATA,66020,0,100,3150.21,  0.00,  0.00,NaN,NaN
DATA,67019,0,100,3150.21,  0.00,  0.00,NaN,NaN
DATA,68020,0,100,3177.37,  0.00,  0.00,NaN,NaN
DATA,69019,0,100,3204.52,  0.00,  0.00,NaN,NaN
DATA,70020,0,100,3258.82,  0.00,  0.00,NaN,NaN
DATA,71019,0,100,3340.28,  0.00,  0.00,NaN,NaN
DATA,72019,0,100,3269.69,  0.00,  0.00,NaN,NaN
DATA,73020,0,100,3313.13,  0.00,  0.00,NaN,NaN
DATA,74019,0,100,3334.85,  0.00,  0.00,NaN,NaN
DATA,75020,0,100,3389.16,  0.00,  0.00,NaN,NaN
