META,inlet_choked,flow_rate_dpump_pressurising
DATA,ts_ms,diaphragm_pct,piston_pct,mpx_pressure_hPa,bmp_temp_C,bmp_pressure_hPa,dht_temp_C,dht_humidity
DATA,1130,0,0,-10.43, 23.38,1014.32,NaN,NaN
DATA,2023,0,0,-10.43, 23.38,1014.20,NaN,NaN
DATA,3022,0,0,-10.43, 23.39,1014.05,NaN,NaN
DATA,4023,0,0,-10.43, 23.38,1013.89,NaN,NaN
DATA,5022,100,0,-10.43, 23.39,1013.78,NaN,NaN
DATA,6023,100,0, 65.60, 23.42,1098.67,NaN,NaN
DATA,7022,100,0, 65.60, 23.41,1098.69,NaN,NaN
DATA,8023,100,0, 71.03, 23.42,1101.50,NaN,NaN
DATA,9023,100,0, 76.46, 23.42,1104.83,NaN,NaN
DATA,10022,100,0, 76.46, 23.42,1108.56,NaN,NaN
DATA,11023,100,0, 81.89, 23.42,1112.11,NaN,NaN
DATA,12022,100,0, 87.32, 23.42,1115.50,NaN,NaN
DATA,13023,100,0, 87.32, 23.43,1119.12,NaN,NaN
DATA,14022,100,0, 92.76, 23.43,1122.46,NaN,NaN
DATA,15023,100,0, 98.19, 23.43,1125.71,NaN,NaN
DATA,16022,100,0, 98.19, 23.43,1128.98,NaN,NaN
DATA,17022,100,0,103.62, 23.43,1132.00,NaN,NaN
DATA,18023,100,0,103.62, 23.44,1134.95,NaN,NaN
DATA,19022,100,0,109.05, 23.44,1137.99,NaN,NaN
DATA,20023,100,0,114.48, 23.44,1140.89,NaN,NaN
DATA,21022,100,0,114.48, 23.44,1143.57,NaN,NaN
DATA,22023,100,0,119.91, 23.45,1146.34,NaN,NaN
DATA,23022,100,0,119.91, 23.45,1148.98,NaN,NaN
DATA,24023,100,0,119.91, 23.45,1151.55,NaN,NaN
DATA,25023,100,0,125.34, 23.45,1154.08,NaN,NaN
DATA,26022,100,0,125.34, 23.45,1156.47,NaN,NaN
DATA,27023,100,0,130.77, 23.45,1158.83,NaN,NaN
DATA,28022,100,0,130.77, 23.46,1161.30,NaN,NaN
DATA,29023,100,0,130.77, 23.46,1163.45,NaN,NaN
DATA,30022,100,0,136.20, 23.46,1165.60,NaN,NaN
DATA,31023,100,0,136.20, 23.46,1167.89,NaN,NaN
DATA,32022,100,0,141.63, 23.46,1169.95,NaN,NaN
DATA,33022,100,0,141.63, 23.47,1171.90,NaN,NaN
DATA,34023,100,0,141.63, 23.47,1173.94,NaN,NaN
DATA,35022,100,0,147.06, 23.47,1175.90,NaN,NaN
DATA,36023,100,0,147.06, 23.47,1177.77,NaN,NaN
DATA,37022,100,0,152.49, 23.48,1179.66,NaN,NaN
DATA,38023,100,0,152.49, 23.47,1181.33,NaN,NaN
DATA,39022,100,0,152.49, 23.48,1183.16,NaN,NaN
DATA,40023,100,0,152.49, 23.48,1184.93,NaN,NaN
DATA,41023,100,0,157.92, 23.48,1186.55,NaN,NaN
DATA,42022,100,0,157.92, 23.48,1188.09,NaN,NaN
DATA,43023,100,0,157.92, 23.48,1189.80,NaN,NaN
DATA,44022,100,0,163.35, 23.48,1191.36,NaN,NaN
DATA,45023,100,0,163.35, 23.49,1192.80,NaN,NaN
DATA,46022,100,0,163.35, 23.49,1194.28,NaN,NaN
DATA,47023,100,0,163.35, 23.48,1195.70,NaN,NaN
DATA,48022,100,0,168.78, 23.49,1197.15,NaN,NaN
DATA,49022,100,0,168.78, 23.49,1198.56,NaN,NaN
DATA,50023,100,0,168.78, 23.49,1199.85,NaN,NaN
DATA,51022,100,0,174.22, 23.50,1201.11,NaN,NaN
DATA,52023,100,0,174.22, 23.50,1202.50,NaN,NaN
DATA,53022,100,0,174.22, 23.50,1203.72,NaN,NaN
DATA,54023,100,0,174.22, 23.50,1204.87,NaN,NaN
DATA,55022,100,0,174.22, 23.50,1206.10,NaN,NaN
DATA,56023,100,0,179.65, 23.50,1207.26,NaN,NaN
DATA,57023,100,0,179.65, 23.50,1208.33,NaN,NaN
DATA,58022,100,0,185.08, 23.50,1209.44,NaN,NaN
DATA,59023,100,0,185.08, 23.50,1210.50,NaN,NaN
DATA,60022,100,0,185.08, 23.50,1211.61,NaN,NaN
DATA,61023,100,0,185.08, 23.50,1212.59,NaN,NaN
DATA,62022,100,0,185.08, 23.50,1213.55,NaN,NaN
DATA,63023,100,0,190.51, 23.50,1214.58,NaN,NaN
DATA,64022,100,0,190.51, 23.51,1215.57,NaN,NaN
DATA,65022,100,0,190.51, 23.51,1216.43,NaN,NaN
DATA,66023,100,0,190.51, 23.51,1217.34,NaN,NaN
DATA,67022,100,0,190.51, 23.51,1218.35,NaN,NaN
