META,inlet_choked,dpump_only_choked_inlet_the_betterOne
DATA,ts_ms,diaphragm_pct,piston_pct,mpx_pressure_hPa,bmp_temp_C,bmp_pressure_hPa,dht_temp_C,dht_humidity
DATA,1130,0,0,-15.86, 23.19,1010.60,NaN,NaN
DATA,2023,0,0,-15.86, 23.19,1010.64,NaN,NaN
DATA,3022,0,0,-15.86, 23.20,1010.60,NaN,NaN
DATA,4023,0,0,-15.86, 23.19,1010.61,NaN,NaN
DATA,5022,100,0,119.91, 23.19,1010.59,NaN,NaN
DATA,6023,100,0,130.77, 23.19,1010.61,NaN,NaN
DATA,7022,100,0,136.20, 23.19,1010.62,NaN,NaN
DATA,8023,100,0,157.92, 23.20,1010.62,NaN,NaN
DATA,9023,100,0,168.78, 23.19,1010.60,NaN,NaN
DATA,10022,100,0,179.65, 23.19,1010.60,NaN,NaN
DATA,11023,100,0,190.51, 23.19,1010.60,NaN,NaN
DATA,12022,100,0,206.80, 23.19,1010.61,NaN,NaN
DATA,13023,100,0,217.66, 23.19,1010.59,NaN,NaN
DATA,14022,100,0,228.52, 23.19,1010.59,NaN,NaN
DATA,15023,100,0,244.81, 23.19,1010.61,NaN,NaN
DATA,16022,100,0,255.68, 23.19,1010.60,NaN,NaN
DATA,17022,100,0,266.54, 23.19,1010.62,NaN,NaN
DATA,18023,100,0,282.83, 23.19,1010.59,NaN,NaN
DATA,19022,100,0,293.69, 23.19,1010.60,NaN,NaN
DATA,20023,100,0,304.55, 23.20,1010.62,NaN,NaN
DATA,21022,100,0,320.84, 23.20,1010.61,NaN,NaN
DATA,22023,100,0,331.70, 23.19,1010.62,NaN,NaN
DATA,23022,100,0,342.57, 23.19,1010.62,NaN,NaN
DATA,24023,100,0,348.00, 23.19,1010.60,NaN,NaN
DATA,25023,100,0,369.72, 23.19,1010.60,NaN,NaN
DATA,26022,100,0,380.58, 23.20,1010.60,NaN,NaN
DATA,27023,100,0,391.44, 23.19,1010.61,NaN,NaN
DATA,28022,100,0,407.73, 23.20,1010.60,NaN,NaN
DATA,29023,100,0,418.59, 23.19,1010.60,NaN,NaN
DATA,30022,100,0,434.89, 23.19,1010.60,NaN,NaN
DATA,31023,100,0,445.75, 23.19,1010.59,NaN,NaN
DATA,32022,100,0,456.61, 23.19,1010.61,NaN,NaN
DATA,33022,100,0,467.47, 23.19,1010.63,NaN,NaN
DATA,34023,100,0,483.76, 23.19,1010.64,NaN,NaN
DATA,35022,100,0,494.62, 23.19,1010.59,NaN,NaN
DATA,36023,100,0,510.92, 23.19,1010.57,NaN,NaN
DATA,37022,100,0,521.78, 23.19,1010.60,NaN,NaN
DATA,38023,100,0,532.64, 23.19,1010.59,NaN,NaN
DATA,39022,100,0,548.93, 23.19,1010.61,NaN,NaN
DATA,40023,100,0,559.79, 23.19,1010.61,NaN,NaN
DATA,41023,100,0,559.79, 23.18,1010.60,NaN,NaN
DATA,42022,100,0,586.94, 23.19,1010.60,NaN,NaN
DATA,43023,100,0,597.81, 23.19,1010.61,NaN,NaN
DATA,44022,100,0,603.24, 23.18,1010.61,NaN,NaN
DATA,45023,100,0,619.53, 23.18,1010.62,NaN,NaN
DATA,46022,100,0,630.39, 23.18,1010.61,NaN,NaN
DATA,47023,100,0,646.68, 23.19,1010.60,NaN,NaN
DATA,48022,100,0,657.54, 23.19,1010.59,NaN,NaN
DATA,49022,100,0,673.84, 23.19,1010.59,NaN,NaN
DATA,50023,100,0,679.27, 23.18,1010.62,NaN,NaN
DATA,51022,100,0,695.56, 23.18,1010.63,NaN,NaN
DATA,52023,100,0,711.85, 23.19,1010.63,NaN,NaN
DATA,53022,100,0,728.14, 23.19,1010.63,NaN,NaN
DATA,54023,100,0,739.00, 23.19,1010.59,NaN,NaN
DATA,55022,100,0,749.86, 23.19,1010.61,NaN,NaN
DATA,56023,100,0,760.73, 23.18,1010.58,NaN,NaN
DATA,57023,100,0,777.02, 23.19,1010.63,NaN,NaN
DATA,58022,100,0,787.88, 23.18,1010.61,NaN,NaN
DATA,59023,100,0,798.74, 23.19,1010.64,NaN,NaN
