META,inlet_choked,full_system_choked_inlet_TheBetterOne_manualOutlet
DATA,ts_ms,diaphragm_pct,piston_pct,mpx_pressure_hPa,bmp_temp_C,bmp_pressure_hPa,dht_temp_C,dht_humidity
DATA,1130,0,0,-15.86, 23.09,1010.59,NaN,NaN
DATA,2023,0,0,-15.86, 23.09,1010.61,NaN,NaN
DATA,3022,0,0,-15.86, 23.09,1010.63,NaN,NaN
DATA,4023,0,0,-15.86, 23.09,1010.61,NaN,NaN
DATA,5022,0,0,-15.86, 23.09,1010.62,NaN,NaN
DATA,6023,0,0,-15.86, 23.09,1010.62,NaN,NaN
DATA,7022,0,0,-15.86, 23.09,1010.60,NaN,NaN
DATA,8023,0,0,-15.86, 23.09,1010.63,NaN,NaN
DATA,9023,0,0,-15.86, 23.09,1010.64,NaN,NaN
DATA,10022,0,0,-15.86, 23.09,1010.63,NaN,NaN
DATA,11023,0,0,-15.86, 23.09,1010.62,NaN,NaN
DATA,12022,0,0,-15.86, 23.09,1010.59,NaN,NaN
DATA,13023,0,0,-15.86, 23.09,1010.60,NaN,NaN
DATA,14022,0,0,-15.86, 23.09,1010.59,NaN,NaN
DATA,15023,0,17,103.62, 23.07,901.70,NaN,NaN
DATA,16022,100,17,239.38, 23.04,908.63,NaN,NaN
DATA,17022,100,17,288.26, 23.04,840.52,NaN,NaN
DATA,18023,100,17,320.84, 23.03,825.46,NaN,NaN
DATA,19022,100,17,331.70, 23.03,822.96,NaN,NaN
DATA,20023,100,17,358.86, 23.03,826.40,NaN,NaN
DATA,21022,100,17,380.58, 23.03,827.72,NaN,NaN
DATA,22023,100,17,418.59, 23.03,832.65,NaN,NaN
DATA,23022,100,17,424.03, 23.03,836.58,NaN,NaN
DATA,24023,100,17,462.04, 23.03,844.14,NaN,NaN
DATA,25023,100,17,451.18, 23.03,846.37,NaN,NaN
DATA,26022,100,17,472.90, 23.04,851.80,NaN,NaN
DATA,27023,100,17,494.62, 23.04,855.45,NaN,NaN
DATA,28022,100,17,516.35, 23.04,859.58,NaN,NaN
DATA,29023,100,17,532.64, 23.04,866.01,NaN,NaN
DATA,30022,100,17,543.50, 23.04,869.66,NaN,NaN
DATA,31023,100,17,576.08, 23.05,872.16,NaN,NaN
DATA,32022,100,17,570.65, 23.05,878.18,NaN,NaN
DATA,33022,100,17,570.65, 23.05,880.44,NaN,NaN
DATA,34023,100,17,614.10, 23.04,884.74,NaN,NaN
DATA,35022,100,17,624.96, 23.05,887.46,NaN,NaN
DATA,36023,100,17,630.39, 23.05,892.75,NaN,NaN
DATA,37022,100,17,662.97, 23.05,896.24,NaN,NaN
DATA,38023,100,17,684.70, 23.05,900.35,NaN,NaN
DATA,39022,100,17,695.56, 23.05,902.87,NaN,NaN
DATA,40023,100,17,706.42, 23.05,905.75,NaN,NaN
DATA,41023,100,17,722.71, 23.06,912.09,NaN,NaN
DATA,42022,100,17,733.57, 23.06,915.18,NaN,NaN
DATA,43023,100,17,793.31, 23.06,917.96,NaN,NaN
DATA,44022,100,17,787.88, 23.06,918.96,NaN,NaN
DATA,45023,100,17,787.88, 23.06,923.98,NaN,NaN
DATA,46022,100,17,793.31, 23.07,927.17,NaN,NaN
DATA,47023,100,17,825.89, 23.06,930.70,NaN,NaN
DATA,48022,100,17,842.19, 23.07,932.58,NaN,NaN
DATA,49022,100,17,836.75, 23.07,937.60,NaN,NaN
DATA,50023,100,17,863.91, 23.07,940.85,NaN,NaN
DATA,51022,100,17,880.20, 23.07,942.50,NaN,NaN
DATA,52023,100,17,891.06, 23.08,944.38,NaN,NaN
DATA,53022,100,17,907.35, 23.07,949.55,NaN,NaN
DATA,54023,100,17,923.65, 23.07,952.10,NaN,NaN
DATA,55022,100,17,934.51, 23.08,955.48,NaN,NaN
DATA,56023,100,17,945.37, 23.07,956.02,NaN,NaN
DATA,57023,100,17,950.80, 23.08,958.80,NaN,NaN
DATA,58022,100,17,983.38, 23.08,962.38,NaN,NaN
DATA,59023,100,17,983.38, 23.08,963.76,NaN,NaN
DATA,60022,100,17,999.67, 23.08,966.64,NaN,NaN
DATA,61023,100,17,1005.10, 23.08,967.49,NaN,NaN
DATA,62022,100,17,1037.69, 23.08,969.53,NaN,NaN
